corp_code,corp_name,stock_code,corp_cls,induty2,acc_mt,excluded,has_financial,fail_reason
01343735,데이드림엔터테인먼트,348840,E,59,12,0,0,newly_listed_or_delisted_or_other
01316227,효성티앤씨,298020,Y,20,12,0,1,
00148948,조비,001550,Y,20,12,0,1,
00411808,제이오,418550,K,72,12,0,1,
01380578,도우인시스,484120,K,26,12,0,0,newly_listed_or_delisted_or_other
00601191,하나기술,299030,K,29,12,0,1,
01399071,고바이오랩,348150,K,70,12,0,1,
00453284,교촌에프앤비,339770,Y,46,12,0,1,
00255105,케이바이오랩스,038530,K,46,12,0,1,
00155498,풍림산업,001310,E,41,12,0,0,newly_listed_or_delisted_or_other
00380429,CMG제약,058820,K,21,12,0,1,
00375302,우리금융지주,053000,E,64,12,1,,excluded_fin_realestate
01638387,케이지에이,455180,K,29,12,0,0,newly_listed_or_delisted_or_other
00220622,서호전기,065710,K,28,12,0,1,
01448544,셀로맥스사이언스,471820,K,10,12,0,0,newly_listed_or_delisted_or_other
01157846,바이오포트,188040,K,10,12,0,0,newly_listed_or_delisted_or_other
00261373,마크로젠,038290,K,73,12,0,1,
00329093,코데즈컴바인,047770,K,14,12,0,1,
00256955,테이팩스,055490,Y,22,12,0,1,
00647935,하나유비에스암바토비니켈해외자원개발2호,099350,E,64,02,1,,excluded_fin_realestate
00329677,이디디컴퍼니,052650,E,26,12,0,0,newly_listed_or_delisted_or_other
00946030,로보티즈,108490,K,29,12,0,1,
00155638,피에스텍,002230,K,27,12,0,1,
00706715,미원홀딩스,107590,Y,64,12,1,,excluded_fin_realestate
01026616,지구홀딩스,221800,K,72,12,0,0,newly_listed_or_delisted_or_other
00633835,HJ중공업,097230,Y,41,12,0,1,
00350118,뉴젠아이씨티,054150,E,46,12,0,0,newly_listed_or_delisted_or_other
00141413,영화금속,012280,Y,30,12,0,1,
00397243,티엔아이,066350,E,29,12,0,1,
00147860,에스엠벡셀,010580,Y,30,12,0,1,
00257732,한국정밀기계,101680,K,29,12,0,1,
00475532,테이크시스템즈,076090,E,29,12,0,0,newly_listed_or_delisted_or_other
00260903,쓰리소프트,036360,E,58,12,0,0,newly_listed_or_delisted_or_other
01437292,미래에셋맵스리츠,357250,Y,68,11,1,,excluded_fin_realestate
00275710,써미트테크놀로지,039000,E,26,12,0,0,newly_listed_or_delisted_or_other
00303794,쇼박스,086980,K,59,12,0,1,
00299358,트레스,102210,E,31,12,0,1,
00155151,피에이치에이,043370,K,30,12,0,1,
00423609,LG생명과학,068870,E,21,12,0,0,newly_listed_or_delisted_or_other
01390399,솔트웨어,328380,K,62,12,0,1,
00348140,이롬텍,045400,E,26,10,0,0,non_december_fy
01586455,꿈비,407400,K,32,12,0,1,
00129554,갤럭시아에스엠,011420,Y,91,12,0,1,
01011562,우성아이비,194610,E,33,12,0,0,newly_listed_or_delisted_or_other
00117212,두산,000150,Y,26,12,0,1,
00540863,GST,083450,K,29,12,0,1,
00155355,풀무원,017810,Y,10,12,0,1,
00207375,대한뉴팜,054670,K,21,12,0,1,
00231567,애드모바일,032600,E,58,12,0,0,newly_listed_or_delisted_or_other
01692321,미래에셋비전기업인수목적2호,446190,E,66,12,1,,excluded_fin_realestate
00508344,SK디앤디,210980,Y,68,12,1,,excluded_fin_realestate
00178471,한와이어리스,037020,E,62,12,0,0,newly_listed_or_delisted_or_other
00814810,엠에프엠코리아,251960,E,14,12,0,0,newly_listed_or_delisted_or_other
00860730,에이자기관리부동산투자회사,140910,E,68,12,1,,excluded_fin_realestate
00105280,현대지에프홀딩스,005440,Y,64,12,1,,excluded_fin_realestate
00125406,삼도물산,002930,E,46,12,0,0,newly_listed_or_delisted_or_other
00161383,한미반도체,042700,Y,29,12,0,1,
00446901,코칩,126730,K,26,12,0,0,newly_listed_or_delisted_or_other
00271501,코아시아,045970,K,26,12,0,1,
01066058,파마리서치바이오,217950,N,21,12,0,1,
01021949,덱스터,206560,K,59,12,0,1,
00149239,조일알미늄,018470,Y,24,12,0,1,
00186799,태웅,044490,K,25,12,0,1,
00381756,티씨머티리얼즈,125020,K,28,12,0,0,newly_listed_or_delisted_or_other
01115257,시냅스엠,246830,E,63,12,0,0,newly_listed_or_delisted_or_other
01672053,케이비제22호기업인수목적,436530,E,66,12,1,,excluded_fin_realestate
01047169,지란지교시큐리티,208350,K,58,12,0,1,
00666064,셀바스AI,108860,K,58,12,0,1,
00136925,신원종합개발,017000,K,41,12,0,1,
00977696,넥스쳐,194510,E,58,12,0,1,
00151128,모토닉,009680,Y,30,12,0,1,
00428792,제로원인터랙티브,069470,E,63,12,0,0,newly_listed_or_delisted_or_other
00187415,코미팜,041960,K,21,12,0,1,
00263885,포네이처,045290,E,28,12,0,0,newly_listed_or_delisted_or_other
00764807,골프존클라우드,183410,E,27,12,0,0,newly_listed_or_delisted_or_other
00358545,동서정보기술,055000,E,58,12,0,0,newly_listed_or_delisted_or_other
00636656,바이오플러스,099430,K,21,12,0,1,
00147222,전방,000950,Y,13,12,0,1,
00798284,미래에셋제1호기업인수목적,121950,E,66,12,1,,excluded_fin_realestate
00409371,인베니아,079950,K,29,12,0,1,
00155531,풍산홀딩스,005810,Y,64,12,1,,excluded_fin_realestate
00202839,한창산업,079170,K,24,12,0,1,
00238001,블루콤,033560,K,26,12,0,1,
01675421,아이비케이에스제20호기업인수목적,439730,E,66,12,1,,excluded_fin_realestate
00555740,툴코리아,110660,E,25,12,0,0,newly_listed_or_delisted_or_other
00595191,후성,093370,Y,20,12,0,1,
00492353,파이오링크,170790,K,26,12,0,1,
00553025,데이터스트림즈,199150,N,58,12,0,0,konex
00490090,이지케어텍,099750,K,58,03,0,1,
01785056,엔에이치기업인수목적30호,466910,E,66,12,1,,excluded_fin_realestate
00115694,DB증권,016610,Y,66,12,1,,excluded_fin_realestate
