corp_code,year,account,parquet_value,dart_value,dart_account_nm,match,parquet_rcept_dt,dart_rcept_dt
00361169,2019,매출액,,,,1,2019-04-01,2019-04-01
00361169,2019,매출원가,,,,1,2019-04-01,2019-04-01
00361169,2019,매출총이익,,,,1,2019-04-01,2019-04-01
00361169,2019,영업이익,,,,1,2019-04-01,2019-04-01
00361169,2019,재고자산,233733463,233733463,재고자산,1,2019-04-01,2019-04-01
00361169,2019,매출채권,1831669562,1831669562,매출채권,1,2019-04-01,2019-04-01
01199189,2020,매출액,39749494151,39749494151,수익(매출액),1,2020-03-31,2020-03-31
01199189,2020,매출원가,32499929827,32499929827,매출원가,1,2020-03-31,2020-03-31
01199189,2020,매출총이익,7249564324,7249564324,매출총이익,1,2020-03-31,2020-03-31
01199189,2020,영업이익,3956892223,3956892223,영업이익(손실),1,2020-03-31,2020-03-31
01199189,2020,재고자산,3481769231,3481769231,재고자산,1,2020-03-31,2020-03-31
01199189,2020,매출채권,15434595328,15434595328,매출채권 및 기타유동채권,1,2020-03-31,2020-03-31
00298377,2018,매출액,311847747945,311847747945,수익(매출액),1,2018-03-30,2018-03-30
00298377,2018,매출원가,256088392285,256088392285,매출원가,1,2018-03-30,2018-03-30
00298377,2018,매출총이익,55759355660,55759355660,매출총이익,1,2018-03-30,2018-03-30
00298377,2018,영업이익,37175155709,37175155709,영업이익(손실),1,2018-03-30,2018-03-30
00298377,2018,재고자산,14331247801,14331247801,재고자산,1,2018-03-30,2018-03-30
00298377,2018,매출채권,47307348661,47307348661,매출채권 및 기타유동채권,1,2018-03-30,2018-03-30
00407285,2020,매출액,29041712400,29041712400,매출액,1,2020-03-27,2020-03-27
00407285,2020,매출원가,26619115141,26619115141,매출원가,1,2020-03-27,2020-03-27
00407285,2020,매출총이익,2422597259,2422597259,매출총이익,1,2020-03-27,2020-03-27
00407285,2020,영업이익,-1545320892,-1545320892,영업이익(손실),1,2020-03-27,2020-03-27
00407285,2020,재고자산,4012813146,4012813146,재고자산,1,2020-03-27,2020-03-27
00407285,2020,매출채권,5756726194,5756726194,매출채권 및 기타유동채권,1,2020-03-27,2020-03-27
00263140,2021,매출액,5632001022,5632001022,수익(매출액),1,2021-03-22,2021-03-22
00263140,2021,매출원가,5677378525,5677378525,매출원가,1,2021-03-22,2021-03-22
00263140,2021,매출총이익,-45377503,-45377503,매출총이익,1,2021-03-22,2021-03-22
00263140,2021,영업이익,-1076138950,-1076138950,영업이익(손실),1,2021-03-22,2021-03-22
00263140,2021,재고자산,313565423,313565423,재고자산,1,2021-03-22,2021-03-22
00263140,2021,매출채권,,,,1,2021-03-22,2021-03-22
00760999,2022,매출액,96994023041,96994023041,매출액,1,2022-03-15,2022-03-15
00760999,2022,매출원가,90359878532,90359878532,매출원가,1,2022-03-15,2022-03-15
00760999,2022,매출총이익,6634144509,6634144509,매출총이익,1,2022-03-15,2022-03-15
00760999,2022,영업이익,829413108,829413108,영업이익,1,2022-03-15,2022-03-15
00760999,2022,재고자산,19870202089,19870202089,재고자산,1,2022-03-15,2022-03-15
00760999,2022,매출채권,16235758098,16235758098,매출채권,1,2022-03-15,2022-03-15
00565154,2020,매출액,374540780179,374540780179,매출액,1,2020-03-30,2020-03-30
00565154,2020,매출원가,245030968487,245030968487,매출원가,1,2020-03-30,2020-03-30
00565154,2020,매출총이익,129509811692,129509811692,매출총이익,1,2020-03-30,2020-03-30
