corp_code,corp_name,delist_year,corp_cls_now,in_universe_2024,in_universe_2025,class
00676122,지디,2018,E,1,1,survived_scare
00344287,에이치디현대인프라코어,2022,E,1,1,survived_scare
00173731,씨앤에스자산관리,2018,E,1,1,survived_scare
00974459,비앤에스미디어,2017,E,0,0,departed
01091391,교보5호기업인수목적,2018,E,0,0,departed
00245898,에스에이치엔엘,2017,E,1,0,recent_gap
00929228,엔에스컴퍼니,2021,N,1,1,survived_scare
01046203,로아앤코홀딩스,2024,E,1,1,survived_scare
01043871,케이티비기업인수목적1호,2017,E,0,0,departed
01095892,태경피엔에스,2018,E,0,0,departed
00291231,우전,2015,E,1,1,survived_scare
00548519,큐러블,2025,E,1,1,survived_scare
00441128,아리온테크놀로지,2020,E,0,0,departed
00112819,데코앤에프,2019,E,1,1,survived_scare
01102800,키움제4호기업인수목적,2018,E,0,0,departed
00585219,세원이앤씨,2023,E,1,1,survived_scare
01102095,쿠첸,2019,E,0,0,departed
01047929,에스케이제1호기업인수목적,2017,E,0,0,departed
00302078,엠피씨플러스,2020,E,1,1,survived_scare
00480950,이아이디,2023,E,1,1,survived_scare
00989327,엘피케이로보틱스,2019,E,0,0,departed
00599489,청광건설,2023,E,0,0,departed
01090301,케이비제8호기업인수목적,2018,E,0,0,departed
00764807,골프존클라우드,2024,E,1,1,survived_scare
00656021,비에프랩스,2024,E,1,1,survived_scare
00905316,하이골드오션3호선박투자회사,2022,E,0,0,departed
00763358,스마트솔루션즈,2022,E,1,1,survived_scare
00945208,더미동,2024,E,1,1,survived_scare
00295370,제이앤케이인더스트리,2020,E,1,1,survived_scare
00410739,푸른소나무,2020,E,1,1,survived_scare
00264787,럭슬,2019,E,0,0,departed
00529310,동북아10호선박투자회사,2017,E,0,0,departed
00164362,행남사,2018,E,1,1,survived_scare
00302120,피앤텔,2015,E,1,1,survived_scare
00957568,로아앤코,2017,E,1,1,survived_scare
00786331,에스앤씨엔진그룹리미티드,2020,E,0,0,departed
00678096,맥스로텍,2021,E,0,0,departed
00446460,아이디에스,2015,E,0,0,departed
00244419,디에스티,2017,E,1,1,survived_scare
00410678,다린,2017,E,0,0,departed
00351047,아이팩토리,2015,E,0,0,departed
00255141,글로앤웰,2018,E,0,0,departed
00612115,유디피,2018,E,0,0,departed
00929778,배터리솔루션즈,2018,E,0,0,departed
00671437,파인넥스,2019,E,0,0,departed
00818472,이큐셀,2020,E,1,1,survived_scare
00496225,이엠네트웍스,2020,E,0,0,departed
01011562,우성아이비,2018,E,1,1,survived_scare
00695464,차이나그레이트스타인터내셔널리미티드,2019,E,0,0,departed
00418476,엠제이비,2016,E,0,0,departed
00967778,나이코,2016,E,0,0,departed
01118643,솔루믹스,2025,N,1,1,survived_scare
00402989,유한코스메틱,2021,E,1,1,survived_scare
01038161,대우기업인수목적2호,2017,E,0,0,departed
00111227,대양제지공업,2022,E,1,1,survived_scare
00154426,아이에이치큐,2023,E,1,1,survived_scare
00757816,모다,2018,E,0,0,departed
00681142,쌍방울,2023,E,1,1,survived_scare
00806972,매직마이크로,2015,E,0,0,departed
00823687,웨이포트유한공사,2017,E,0,0,departed
00526474,동북아14호선박투자회사,2017,E,0,0,departed
01075047,키움제3호기업인수목적,2018,E,0,0,departed
01041217,현대에이블기업인수목적1호,2017,E,0,0,departed
00389679,해피드림,2015,E,0,0,departed
00638539,앤에스,2021,E,1,1,survived_scare
