kind,T,absent_2025,absent_after_all,corp_cls,corp_cls_now,corp_code,corp_name,delist_year,example_disclosure,present_before,removal_ok,stock_code
d1_delisted,,0,0,,E,00676122,지디,2018,주권매매거래정지해제(상장폐지효력정지등 가처분신청에 대한 기각결정 확인),1,0,
d1_delisted,,0,0,,E,00344287,에이치디현대인프라코어,2022,투자유의안내(현대두산인프라코어 1WR의 신주인수권 행사기간 만료 및 상장폐지 예고),1,0,
d1_delisted,,0,0,,E,00173731,씨앤에스자산관리,2018,기타시장안내(상장폐지결정 등 효력정지 가처분신청 기각결정 안내),1,0,
d1_delisted,,1,1,,E,00974459,비앤에스미디어,2017,기타시장안내(상장폐지 관련),1,1,
d1_delisted,,1,1,,E,01091391,교보5호기업인수목적,2018,기타시장안내(상장폐지 우려 예고),1,1,
d1_delisted,,1,0,,E,00245898,에스에이치엔엘,2017,기타경영사항(자율공시)(상장폐지결정 등 효력정지 가처분신청 즉시항고),1,1,
d1_delisted,,0,0,,N,00929228,엔에스컴퍼니,2021,주권매매거래정지해제(상장폐지 사유 해소),1,0,
d1_delisted,,0,0,,E,01046203,로아앤코홀딩스,2024,기타시장안내              (정리매매 보류 관련),1,0,
d1_delisted,,1,1,,E,01043871,케이티비기업인수목적1호,2017,주권매매거래정지(상장폐지 사유발생),1,1,
d1_delisted,,1,1,,E,01095892,태경피엔에스,2018,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,1,
d1_delisted,,0,0,,E,00291231,우전,2015,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,0,
d1_delisted,,0,1,,E,00548519,큐러블,2025,주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),1,0,
d1_delisted,,1,0,,E,00441128,아리온테크놀로지,2020,기타시장안내              (관리종목 지정사유 추가 및 상장폐지 절차 관련 안내),1,1,
d1_delisted,,0,0,,E,00112819,데코앤에프,2019,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,0,
d1_delisted,,1,1,,E,01102800,키움제4호기업인수목적,2018,주권매매거래정지(상장폐지 사유발생),1,1,
d1_delisted,,0,0,,E,00585219,세원이앤씨,2023,기타시장안내              (상장폐지결정 효력정지 가처분 신청 기각결정에 따른 정리매매절차 재개),1,0,
d1_delisted,,1,0,,E,01102095,쿠첸,2019,[기재정정]상장폐지결정,1,1,
d1_delisted,,1,1,,E,01047929,에스케이제1호기업인수목적,2017,기타경영사항(자율공시)(상장폐지 및 청산관련 주요사항 안내),1,1,
d1_delisted,,0,0,,E,00302078,엠피씨플러스,2020,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,0,
d1_delisted,,0,0,,E,00480950,이아이디,2023,기타시장안내              (상장폐지결정 효력정지 가처분 신청 기각결정에 따른 정리매매절차 재개),1,0,
d1_delisted,,1,0,,E,00989327,엘피케이로보틱스,2019,주권매매거래정지해제(상장폐지 효력정지 가처분신청 기각결정에 따른 정리매매절차 재개 ),1,1,
d1_delisted,,1,1,,E,00599489,청광건설,2023,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,1,
d1_delisted,,1,1,,E,01090301,케이비제8호기업인수목적,2018,기타시장안내(상장폐지 우려 예고),1,1,
