corp_code,year,account,cand_nm,cand_id,cand_value,is_pick
00862853,2020,매출액,영업수익,ifrs-full_Revenue,38572319649,1
00862853,2020,매출원가,영업비용,dart_OperatingExpenses,29769370732,1
00862853,2020,영업이익,영업이익,dart_OperatingIncomeLoss,8802948917,1
00862853,2020,매출채권,매출채권,dart_ShortTermTradeReceivable,9339720119,1
00151298,2018,매출액,매출액,ifrs_Revenue,177545209650,1
00151298,2018,매출원가,매출원가,ifrs_CostOfSales,160016824949,1
00151298,2018,매출총이익,매출총이익,ifrs_GrossProfit,17528384701,1
00151298,2018,영업이익,영업이익(손실),dart_OperatingIncomeLoss,2478368395,1
00151298,2018,영업이익,계속영업이익(손실),ifrs_ProfitLossFromContinuingOperations,5015163845,0
00151298,2018,재고자산,재고자산,ifrs_Inventories,29640737739,1
00151298,2018,매출채권,매출채권 및 기타채권,ifrs_TradeAndOtherCurrentReceivables,45896099054,1
00124726,2017,매출액,매출액,ifrs_Revenue,804139944761,1
00124726,2017,매출원가,매출원가,ifrs_CostOfSales,561290382596,1
00124726,2017,매출총이익,매출총이익,ifrs_GrossProfit,242849562165,1
00124726,2017,영업이익,영업이익,dart_OperatingIncomeLoss,35616853375,1
00124726,2017,재고자산,재고자산,ifrs_Inventories,33575416345,1
00124726,2017,매출채권,매출채권,-표준계정코드 미사용-,68956662535,1
00478900,2019,매출액,수익(매출액),ifrs_Revenue,77604083499,1
00478900,2019,매출액,제품매출액,dart_RevenueFromSaleOfGoodsProduct,73841166462,0
00478900,2019,매출액,용역의 제공으로 인한 수익(매출액),ifrs_RevenueFromRenderingOfServices,2001420169,0
00478900,2019,매출원가,매출원가,ifrs_CostOfSales,56866273254,1
00478900,2019,매출원가,재화의 판매로 인한 수익(매출액)에 대한 매출원가,dart_CostOfSalesFromSaleOfGoods,1094160011,0
00478900,2019,매출원가,제품매출원가,dart_CostOfSalesFromSaleOfGoodsProduct,54273583121,0
00478900,2019,매출원가,용역의 제공으로 인한 수익(매출액)에 대한 매출원가,dart_CostOfSalesFromRenderingOfServices,1498530122,0
00478900,2019,매출총이익,매출총이익,ifrs_GrossProfit,20737810245,1
00478900,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,11987040622,1
00478900,2019,재고자산,재고자산,ifrs_Inventories,24963874996,1
00478900,2019,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,14672099727,1
00149354,2022,매출액,매출액,ifrs-full_Revenue,35239252765,1
00149354,2022,매출원가,매출원가,ifrs-full_CostOfSales,1063827604,1
00149354,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,34175425161,1
00149354,2022,영업이익,영업이익,dart_OperatingIncomeLoss,24599740328,1
00149354,2022,재고자산,재고자산,ifrs-full_Inventories,0,1
00149354,2022,매출채권,매출채권,dart_ShortTermTradeReceivable,1642876400,1
00113492,2017,매출원가,매출원가,ifrs_CostOfSales,571602606319,1
00113492,2017,매출총이익,매출총이익,ifrs_GrossProfit,128975521576,1
00113492,2017,영업이익,영업이익(손실),dart_OperatingIncomeLoss,17761238137,1
00113492,2017,재고자산,재고자산,ifrs_Inventories,50942249165,1
00113492,2017,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,86056076727,1
00959229,2021,매출액,수익(매출액),ifrs-full_Revenue,13993481345,1
00959229,2021,매출원가,매출원가,ifrs-full_CostOfSales,5558588614,1
00959229,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,8434892731,1
00959229,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,1086759065,1
00959229,2021,재고자산,재고자산,ifrs-full_Inventories,2690532065,1
00959229,2021,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,2357874450,1
00442561,2019,매출액,매출액,ifrs_Revenue,24525642776,1
00442561,2019,매출원가,매출원가,ifrs_CostOfSales,19903171479,1
00442561,2019,매출총이익,매출총이익,ifrs_GrossProfit,4622471297,1
00442561,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,-1392682576,1
00442561,2019,재고자산,재고자산,ifrs_Inventories,1805652930,1
00442561,2019,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,3938031897,1
01259418,2019,매출액,수익(매출액),ifrs_Revenue,20620188221,1
01259418,2019,매출액,제품매출액,dart_RevenueFromSaleOfGoodsProduct,20620188221,0
01259418,2019,매출액,이자수익,dart_InterestIncomeFinanceIncome,21051058,0
01259418,2019,매출원가,매출원가,ifrs_CostOfSales,13197338921,1
01259418,2019,매출원가,재화의 판매로 인한 수익(매출액)에 대한 매출원가,dart_CostOfSalesFromSaleOfGoods,13197338921,0
01259418,2019,매출원가,제품매출원가,dart_CostOfSalesFromSaleOfGoodsProduct,13197338921,0
01259418,2019,매출총이익,매출총이익,ifrs_GrossProfit,7422849300,1
01259418,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,4202719408,1
01259418,2019,재고자산,재고자산,ifrs_Inventories,4940475478,1
01259418,2019,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,2895915419,0
01259418,2019,매출채권,매출채권,dart_ShortTermTradeReceivable,2684581410,1
00357430,2021,매출액,수익(매출액),ifrs-full_Revenue,42743207585,1
00357430,2021,매출원가,매출원가,ifrs-full_CostOfSales,10898232512,1
00357430,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,31844975073,1
00357430,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,3564939132,1
00357430,2021,재고자산,재고자산,ifrs-full_Inventories,3118072118,1
00357430,2021,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,7479948204,1
00144818,2020,매출액,수익(매출액),ifrs-full_Revenue,78957803088,1
00144818,2020,매출원가,매출원가,ifrs-full_CostOfSales,35496235892,1
00144818,2020,매출총이익,매출총이익,ifrs-full_GrossProfit,43461567196,1
00144818,2020,영업이익,영업이익(손실),dart_OperatingIncomeLoss,6112885949,1
00144818,2020,재고자산,재고자산,ifrs-full_Inventories,16325518056,1
00144818,2020,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,18835677581,1
00151368,2018,매출액,수익(매출액),ifrs_Revenue,476310232968,1
00151368,2018,매출원가,매출원가,ifrs_CostOfSales,447324651493,1
00151368,2018,매출총이익,매출총이익,ifrs_GrossProfit,28985581475,1
00151368,2018,영업이익,영업이익(손실),dart_OperatingIncomeLoss,11594850855,1
00151368,2018,영업이익,계속영업이익(손실),ifrs_ProfitLossFromContinuingOperations,4736525904,0
00151368,2018,재고자산,재고자산,ifrs_Inventories,1478423485,1
00151368,2018,매출채권,매출채권,dart_ShortTermTradeReceivable,119285441559,1
00151368,2018,매출채권,기타수취채권,dart_ShortTermOtherReceivables,1186340736,0
00151368,2018,매출채권,기타수취채권,dart_LongTermOtherReceivablesGross,38793577643,0
00102760,2017,매출액,매출액,ifrs_Revenue,1274565797672,1
00102760,2017,매출원가,매출원가,ifrs_CostOfSales,1161224864823,1
00102760,2017,매출총이익,매출총이익,ifrs_GrossProfit,113340932849,1
00102760,2017,영업이익,영업이익(손실),dart_OperatingIncomeLoss,12804686143,1
00102760,2017,영업이익,계속영업이익(손실),ifrs_ProfitLossFromContinuingOperations,-252391581212,0
00102760,2017,영업이익,중단영업이익(손실),ifrs_ProfitLossFromDiscontinuedOperations,-119136438637,0
00102760,2017,영업이익,계속영업이익(손실),ifrs_BasicEarningsLossPerShareFromContinuingOperations,-4795,0
00102760,2017,영업이익,중단영업이익(손실),ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,-2052,0
00102760,2017,영업이익,계속영업이익(손실),ifrs_DilutedEarningsLossPerShareFromContinuingOperations,-4795,0
00102760,2017,영업이익,중단영업이익(손실),ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,-2052,0
00102760,2017,재고자산,재고자산,-표준계정코드 미사용-,45103859785,1
00102760,2017,매출채권,매출채권,-표준계정코드 미사용-,363271717854,1
00667425,2021,매출액,수익(매출액),ifrs-full_Revenue,49630031668,1
00667425,2021,매출원가,매출원가,ifrs-full_CostOfSales,39690549470,1
00667425,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,9939482198,1
00667425,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,6544712114,1
00667425,2021,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,1319767515,1
00133663,2021,매출액,수익(매출액),ifrs-full_Revenue,109841713136,1
00133663,2021,매출원가,매출원가,ifrs-full_CostOfSales,102008059556,1
00133663,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,7833653580,1
00133663,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,-271946800,1
00133663,2021,재고자산,재고자산,ifrs-full_Inventories,5630138146,1
00133663,2021,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,9462208894,1
00129235,2017,매출액,매출액,ifrs_Revenue,101631216938,1
00129235,2017,매출원가,매출원가,ifrs_CostOfSales,78233860532,1
00129235,2017,매출총이익,매출총이익,ifrs_GrossProfit,23397356406,1
00129235,2017,영업이익,영업이익,dart_OperatingIncomeLoss,13517611853,1
00129235,2017,재고자산,재고자산,ifrs_Inventories,8814159498,1
00129235,2017,매출채권,매출채권,ifrs_TradeAndOtherCurrentReceivables,18176693817,1
00129235,2017,매출채권,기타수취채권,-표준계정코드 미사용-,115478551,0
00139889,2021,매출액,매출액,ifrs-full_Revenue,556765066380,1
00139889,2021,매출원가,매출원가,ifrs-full_CostOfSales,431162475913,1
00139889,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,125602590467,1
00139889,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,12935174018,1
00139889,2021,재고자산,재고자산,ifrs-full_Inventories,74398571096,1
00139889,2021,매출채권,매출채권,dart_ShortTermTradeReceivable,86264152187,1
