corp_code,year,account,our_pick_nm,our_pick_id,our_pick_value,n_candidates,verdict,note
00862853,2020,매출액,영업수익,ifrs-full_Revenue,38572319649,1,OK,표준 id 일치(ifrs-full_Revenue)
00862853,2020,매출원가,영업비용,dart_OperatingExpenses,29769370732,1,DEFINITIONAL,매출원가 미보고 → 영업비용 대체(서비스업 관행)
00862853,2020,매출총이익,,,,0,NA,개념 후보 없음(정의 안 됨)
00862853,2020,영업이익,영업이익,dart_OperatingIncomeLoss,8802948917,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00862853,2020,재고자산,,,,0,NA,개념 후보 없음(정의 안 됨)
00862853,2020,매출채권,매출채권,dart_ShortTermTradeReceivable,9339720119,1,OK,매출채권류
00151298,2018,매출액,매출액,ifrs_Revenue,177545209650,1,OK,표준 id 일치(ifrs_Revenue)
00151298,2018,매출원가,매출원가,ifrs_CostOfSales,160016824949,1,OK,매출원가 직접
00151298,2018,매출총이익,매출총이익,ifrs_GrossProfit,17528384701,1,OK,표준 id 일치(ifrs_GrossProfit)
00151298,2018,영업이익,영업이익(손실),dart_OperatingIncomeLoss,2478368395,2,OK,표준 id 일치(dart_OperatingIncomeLoss)
00151298,2018,재고자산,재고자산,ifrs_Inventories,29640737739,1,OK,표준 id 일치(ifrs_Inventories)
00151298,2018,매출채권,매출채권 및 기타채권,ifrs_TradeAndOtherCurrentReceivables,45896099054,1,DISCLOSURE,"합산선만 공시(순수 매출채권 미공시 — 공시 현실, 허용)"
00124726,2017,매출액,매출액,ifrs_Revenue,804139944761,1,OK,표준 id 일치(ifrs_Revenue)
00124726,2017,매출원가,매출원가,ifrs_CostOfSales,561290382596,1,OK,매출원가 직접
00124726,2017,매출총이익,매출총이익,ifrs_GrossProfit,242849562165,1,OK,표준 id 일치(ifrs_GrossProfit)
00124726,2017,영업이익,영업이익,dart_OperatingIncomeLoss,35616853375,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00124726,2017,재고자산,재고자산,ifrs_Inventories,33575416345,1,OK,표준 id 일치(ifrs_Inventories)
00124726,2017,매출채권,매출채권,-표준계정코드 미사용-,68956662535,1,OK,순수 매출채권
00478900,2019,매출액,수익(매출액),ifrs_Revenue,77604083499,3,OK,표준 id 일치(ifrs_Revenue)
00478900,2019,매출원가,매출원가,ifrs_CostOfSales,56866273254,4,OK,매출원가 직접
00478900,2019,매출총이익,매출총이익,ifrs_GrossProfit,20737810245,1,OK,표준 id 일치(ifrs_GrossProfit)
00478900,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,11987040622,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00478900,2019,재고자산,재고자산,ifrs_Inventories,24963874996,1,OK,표준 id 일치(ifrs_Inventories)
00478900,2019,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,14672099727,1,DISCLOSURE,"합산선만 공시(순수 매출채권 미공시 — 공시 현실, 허용)"
